Unicode,Kanji,KLC,Heisig old,Heisig 6th Ed,KLC name
80c3,胃,1975,29,29,stomach
708e,炎,1976,162,174,"flame, inflammation"
8ac7,談,1977,350,374,talk (converse)
6de1,淡,1978,164,176,light (faint)
707d,災,1979,167,179,natural calamity
809d,肝,1980,1649,1778,liver
80ba,肺,1981,414,443,lung
80c6,胆,1982,31,31,gallbladder (gall)
817a,腺,1983,2466,141,gland
80de,胞,1984,531,570,membranous sac
8178,腸,1985,544,583,intestines
80ce,胎,1986,748,810,"womb, fetus"
8170,腰,1987,1605,1731,waist
8098,肘,1988,2464,46,elbow
819d,膝,1989,2461,1002,knee
80a1,股,1990,2454,764,crotch
80a2,肢,1991,714,771,limb
80f4,胴,1992,182,194,trunk (torso)
8107,脇,1993,870,935,"armpit, aside"
8102,脂,1994,456,494,fat
8a63,詣,1995,2715,495,visit a temple
80aa,肪,1996,494,533,animal fat
808c,肌,1997,66,70,skin
819a,膚,1998,1992,2147,skin
616e,慮,1999,1996,2151,consider
8650,虐,2000,1998,2153,cruel (tyrannical)
865e,虞,2001,1995,2150,risk
5287,劇,2002,1997,2152,drama
865a,虚,2003,1993,2148,"empty (void), false"
865c,虜,2004,1991,2146,captive
52c7,勇,2005,1407,1509,brave (in high spirits)
6e67,湧,2006,2284,1510,well up (gush out)
622f,戯,2007,1994,2149,sport (play)
7e4a,繊,2008,1790,1929,"fine, fiber"
7dfb,緻,2009,,1437,fine
5618,嘘,2010,2167,2286,lie (fib)
5642,噂,2011,2161,2282,rumor (gossip)
6a3d,樽,2012,2506,2567,barrel
8ddd,距,2013,1281,1375,distance
62d2,拒,2014,857,921,refuse (reject)
5b09,嬉,2015,2207,2319,glad
9f13,鼓,2016,1444,1552,drum
6a39,樹,2017,1446,1554,standing tree
81a8,膨,2018,1719,1855,expand
8139,脹,2019,1923,2073,swell
5f35,張,2020,1921,2071,"spread out (extend over), strain (stretch)"
5e33,帳,2021,1922,2072,notebook (curtain)
816b,腫,2022,2467,1807,tumor (swelling)
80a5,肥,2023,1756,1893,fatten
628a,把,2024,1752,1889,grip
8a87,誇,2025,1244,1332,boast
89a7,覧,2026,855,919,look over (view)
76e3,監,2027,1453,1562,oversee
9451,鑑,2028,1455,1564,"appraise, refer to"
8266,艦,2029,1875,2020,warship
6feb,濫,2030,1454,1563,excessive
85cd,藍,2031,2371,1565,indigo
8ce2,賢,2032,852,915,wise (intelligent)
814e,腎,2033,2453,916,kidney
5805,堅,2034,853,917,firm (solid)
7dca,緊,2035,1374,1474,"tighten, exigent"
52c3,勃,2036,2858,930,suddenly rising
52b1,励,2037,866,931,work hard (urge on)
6803,栃,2038,514,553,horse chestnut (tree)
